work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size,salary_in_usd
2020,MI,FT,Data Scientist,DE,0,DE,L,79833
2020,SE,FT,Machine Learning Scientist,JP,0,JP,S,260000
2020,SE,FT,Big Data Engineer,GB,50,GB,M,109024
2020,MI,FT,Product Data Analyst,HN,0,HN,S,20000
2020,SE,FT,Machine Learning Engineer,US,50,US,L,150000
2020,EN,FT,Data Analyst,US,100,US,L,72000
2020,SE,FT,Lead Data Scientist,US,100,US,S,190000
2020,MI,FT,Data Scientist,HU,50,HU,L,35735
2020,MI,FT,Business Data Analyst,US,100,US,L,135000
2020,SE,FT,Lead Data Engineer,NZ,50,NZ,S,125000
2020,EN,FT,Data Scientist,FR,0,FR,S,51321
2020,MI,FT,Data Scientist,IN,0,IN,L,40481
2020,EN,FT,Data Scientist,FR,0,FR,M,39916
2020,MI,FT,Lead Data Analyst,US,100,US,L,87000
2020,MI,FT,Data Analyst,US,100,US,L,85000
2020,MI,FT,Data Analyst,PK,50,PK,L,8000
2020,EN,FT,Data Engineer,JP,100,JP,S,41689
2020,SE,FT,Big Data Engineer,PL,100,GB,S,114047
2020,EN,FT,Data Science Consultant,IN,50,IN,M,5707
2020,MI,FT,Lead Data Engineer,PT,100,US,M,56000
2020,MI,FT,Machine Learning Engineer,CN,0,CN,M,43331
2020,MI,FT,Product Data Analyst,IN,100,IN,L,6072
2020,SE,FT,Data Engineer,GR,50,GR,L,47899
2020,MI,FT,BI Data Analyst,US,0,US,M,98000
2020,MI,FT,Lead Data Scientist,AE,0,AE,L,115000
2020,EX,FT,Director of Data Science,US,100,US,L,325000
2020,EN,FT,Research Scientist,NL,50,NL,L,42000
2020,SE,FT,Data Engineer,MX,0,MX,S,33511
2020,EN,CT,Business Data Analyst,US,100,US,L,100000
2020,SE,FT,Machine Learning Manager,CA,50,CA,L,117104
2020,MI,FT,Data Engineering Manager,DE,100,DE,S,59303
2020,EN,FT,Big Data Engineer,US,100,US,L,70000
2020,SE,FT,Data Scientist,GR,100,US,L,68428
2020,MI,FT,Research Scientist,US,0,US,M,450000
2020,MI,FT,Data Analyst,FR,50,FR,L,46759
2020,MI,FT,Data Engineer,AT,50,AT,L,74130
2020,MI,FT,Data Science Consultant,US,100,US,L,103000
2020,EN,FT,Machine Learning Engineer,US,50,US,L,250000
2020,EN,FT,Data Analyst,NG,100,NG,S,10000
2020,EN,FT,Machine Learning Engineer,US,100,US,S,138000
2020,MI,FT,Data Scientist,PH,100,US,S,45760
2020,EX,FT,Data Engineering Manager,ES,50,ES,L,79833
2020,MI,FT,Machine Learning Infrastructure Engineer,PT,0,PT,M,50180
2020,MI,FT,Data Engineer,US,100,US,L,106000
2020,MI,FT,Data Engineer,GB,50,GB,L,112872
2020,EN,PT,ML Engineer,DE,100,DE,S,15966
2020,MI,FT,Data Scientist,GB,100,GB,S,76958
2020,SE,FT,Data Engineer,US,100,US,L,188000
2020,MI,FT,Data Scientist,US,100,US,L,105000
2020,MI,FT,Data Engineer,FR,50,FR,L,70139
2020,EN,FT,Data Analyst,IN,0,IN,S,6072
2020,EN,FT,Data Analyst,US,100,US,L,91000
2020,EN,FT,AI Scientist,DK,50,DK,S,45896
2020,EN,FT,Data Engineer,PK,100,DE,L,54742
2020,SE,FL,Computer Vision Engineer,RU,100,US,S,60000
2020,SE,FT,Principal Data Scientist,DE,100,DE,M,148261
2020,MI,FT,Data Scientist,ES,100,ES,M,38776
2020,MI,FT,Data Scientist,US,100,US,M,118000
2020,SE,FT,Data Scientist,US,50,US,L,120000
2020,MI,FT,Data Scientist,US,100,US,M,138350
2020,MI,FT,Data Engineer,US,100,US,L,110000
2020,MI,FT,Data Engineer,ES,100,US,M,130800
2020,EN,PT,Data Scientist,IT,50,IT,S,21669
2020,SE,FT,Data Scientist,US,100,US,L,412000
2020,SE,FT,Machine Learning Engineer,HR,100,HR,S,45618
2020,EN,FT,Data Scientist,DE,50,DE,S,62726
2020,EN,FT,Data Scientist,DE,0,DE,S,49268
2020,SE,FT,Data Science Manager,US,100,US,M,190200
2020,EN,FT,Data Scientist,US,100,US,S,105000
2020,SE,FT,Data Scientist,AT,0,AT,S,91237
2020,MI,FT,Data Scientist,FR,50,LU,S,62726
2020,MI,FT,Data Scientist,FR,50,FR,S,42197
2021,EN,FT,Research Scientist,GB,50,GB,L,82528
2021,EX,FT,BI Data Analyst,IN,100,US,L,150000
2021,EX,FT,Head of Data,US,100,US,L,235000
2021,SE,FT,Data Scientist,FR,50,FR,L,53192
2021,MI,FT,BI Data Analyst,US,100,US,M,100000
